SKU ID,SKU Subdivision,SKU Region,SKU Province,Farm ID,Farm Province,Farm Latitude,Farm Longitude
1001,Carrot,Miền Bắc,T. Hưng Yên,DC01,HƯNG YÊN,20.914679,106.075413
1001,Carrot,Miền Bắc,T. Hà Giang,DC01,HƯNG YÊN,20.914679,106.075413
1001,Carrot,Miền Bắc,T. Sơn La,DC01,HƯNG YÊN,20.914679,106.075413
1001,Carrot,Miền Bắc,T. Tuyên Quang,DC01,HƯNG YÊN,20.914679,106.075413
2002,Broccoli,Miền Bắc,T. Hưng Yên,DC01,HƯNG YÊN,20.914679,106.075413
2002,Broccoli,Miền Bắc,TP. Hà Nội,DC01,HƯNG YÊN,20.914679,106.075413
2003,Broccoli,Miền Bắc,T. Hà Giang,DC01,HƯNG YÊN,20.914679,106.075413
2004,Broccoli,Miền Bắc,T. Hà Giang,DC01,HƯNG YÊN,20.914679,106.075413
2003,Broccoli,Miền Bắc,T. Sơn La,DC01,HƯNG YÊN,20.914679,106.075413
2004,Broccoli,Miền Bắc,T. Sơn La,DC01,HƯNG YÊN,20.914679,106.075413
2003,Broccoli,Miền Bắc,T. Tuyên Quang,DC01,HƯNG YÊN,20.914679,106.075413
2004,Broccoli,Miền Bắc,T. Tuyên Quang,DC01,HƯNG YÊN,20.914679,106.075413
2003,Broccoli,Miền Bắc,T. Điện Biên,DC01,HƯNG YÊN,20.914679,106.075413
2004,Broccoli,Miền Bắc,T. Điện Biên,DC01,HƯNG YÊN,20.914679,106.075413
2003,Broccoli,Miền Bắc,T. Hòa Bình,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Tây,T. An Giang,DC02,CẦN THƠ,10.001594,105.774215
2004,Broccoli,Miền Bắc,T. Hòa Bình,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Tây,T. Bạc Liêu,DC02,CẦN THƠ,10.001594,105.774215
2003,Broccoli,Miền Bắc,T. Lai Châu,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Tây,T. Bến Tre,DC02,CẦN THƠ,10.001594,105.774215
2004,Broccoli,Miền Bắc,T. Lai Châu,DC01,HƯNG YÊN,20.914679,106.075413
3005,Spinach,Miền Tây,T. Cà Mau,DC02,CẦN THƠ,10.001594,105.774215
2003,Broccoli,Miền Bắc,T. Yên Bái,DC01,HƯNG YÊN,20.914679,106.075413
2004,Broccoli,Miền Bắc,T. Yên Bái,DC01,HƯNG YÊN,20.914679,106.075413
2006,Broccoli,Miền Bắc,T. Hà Giang,DC01,HƯNG YÊN,20.914679,106.075413
2006,Broccoli,Miền Bắc,T. Sơn La,DC01,HƯNG YÊN,20.914679,106.075413
2006,Broccoli,Miền Bắc,T. Tuyên Quang,DC01,HƯNG YÊN,20.914679,106.075413
2006,Broccoli,Miền Bắc,T. Vĩnh Phúc,DC01,HƯNG YÊN,20.914679,106.075413
1001,Carrot,Miền Bắc,T. Cao Bằng,DC03,HẢI DƯƠNG,20.902447,106.439247
